Participant,Condition,Sure old,Probable old,Possible old,Possible new,Probable new,Sure new
19,Div-2,5,8,3,1,3,0
19,Div-4,3,9,3,4,0,1
20,New,23,19,21,17,18,22
20,Foc-1,2,2,4,6,3,3
20,Foc-2,5,3,3,4,3,2
20,Foc-4,9,4,0,2,2,3
20,Div-1,2,4,2,1,7,4
20,Div-2,1,5,8,5,0,1
20,Div-4,10,2,3,1,4,0
21,New,6,1,10,32,35,36
21,Foc-1,6,1,4,4,2,3
21,Foc-2,10,3,4,1,2,0
21,Foc-4,13,5,1,1,0,0
21,Div-1,5,3,1,3,5,3
21,Div-2,10,4,3,1,2,0
21,Div-4,10,7,1,2,0,0
22,New,1,7,13,37,35,27
22,Foc-1,4,10,2,2,2,0
22,Foc-2,8,4,5,0,1,2
22,Foc-4,10,4,5,0,1,0
22,Div-1,5,3,5,3,2,2
22,Div-2,6,7,4,1,1,1
22,Div-4,8,6,5,0,0,1
