Participant,Condition,Sure old,Probable old,Possible old,Possible new,Probable new,Sure new
16,Gen-3,18,2,0,0,0,0
17,New,0,2,5,27,36,50
17,Read-1,3,4,4,4,2,3
17,Read-2,6,5,5,2,0,2
17,Read-3,8,8,2,2,0,0
17,Gen-1,6,3,4,2,3,2
17,Gen-2,8,6,3,1,0,2
17,Gen-3,17,1,2,0,0,0
18,New,0,2,14,19,52,33
18,Read-1,8,2,2,2,6,0
18,Read-2,12,3,2,1,2,0
18,Read-3,15,2,0,1,2,0
18,Gen-1,12,5,0,1,2,0
18,Gen-2,18,2,0,0,0,0
18,Gen-3,18,1,1,0,0,0
19,New,0,5,23,27,41,24
19,Read-1,2,3,6,7,2,0
19,Read-2,3,5,7,3,2,0
19,Read-3,11,5,2,2,0,0
19,Gen-1,9,3,3,1,4,0
19,Gen-2,17,1,1,0,0,1
19,Gen-3,20,0,0,0,0,0
20,New,0,2,11,36,38,33
20,Read-1,3,4,5,2,4,2
20,Read-2,6,6,4,4,0,0
20,Read-3,6,9,3,1,1,0
20,Gen-1,11,4,2,1,2,0
20,Gen-2,16,1,0,2,1,0
20,Gen-3,20,0,0,0,0,0
21,New,5,7,18,28,44,18
21,Read-1,6,2,3,5,3,1
21,Read-2,10,2,4,2,2,0
21,Read-3,9,4,3,1,1,2
21,Gen-1,12,4,0,1,2,1
21,Gen-2,15,1,1,2,0,1
21,Gen-3,20,0,0,0,0,0
22,New,9,0,0,0,0,111
22,Read-1,17,0,0,0,0,3
22,Read-2,16,0,0,0,0,4
22,Read-3,18,1,0,0,0,1
22,Gen-1,17,0,0,0,0,3
22,Gen-2,17,0,0,0,0,3
22,Gen-3,19,0,0,0,0,1
23,New,3,8,8,14,22,65
23,Read-1,17,2,0,1,0,0
23,Read-2,19,1,0,0,0,0
23,Read-3,20,0,0,0,0,0
23,Gen-1,11,2,0,0,4,3
23,Gen-2,14,2,2,0,0,2
23,Gen-3,18,1,0,0,0,1
24,New,5,7,8,49,36,15
24,Read-1,5,1,6,4,4,0
24,Read-2,6,4,5,3,2,0
24,Read-3,13,2,2,2,1,0
24,Gen-1,9,6,3,1,1,0
24,Gen-2,15,1,2,2,0,0
24,Gen-3,10,8,0,2,0,0
25,New,1,3,16,16,50,34
25,Read-1,7,3,2,2,6,0
25,Read-2,11,1,3,3,2,0
25,Read-3,13,4,2,0,0,1
25,Gen-1,13,1,2,0,3,1
25,Gen-2,16,0,2,1,0,1
25,Gen-3,18,0,0,1,0,1
26,New,8,2,4,21,30,55
26,Read-1,4,4,0,7,2,3
26,Read-2,9,5,1,1,1,3
26,Read-3,10,3,2,1,1,3
26,Gen-1,10,4,1,1,1,3
26,Gen-2,15,3,0,2,0,0
26,Gen-3,17,1,1,1,0,0
27,New,1,3,9,7,16,84
27,Read-1,12,2,2,1,1,2
27,Read-2,16,0,1,2,1,0
27,Read-3,16,1,1,1,1,0
27,Gen-1,14,2,0,1,1,2
27,Gen-2,17,2,0,0,1,0
27,Gen-3,20,0,0,0,0,0
28,New,1,0,1,10,27,81
28,Read-1,15,2,1,1,0,1
28,Read-2,19,1,0,0,0,0
28,Read-3,18,1,1,0,0,0
28,Gen-1,16,0,2,0,0,2
28,Gen-2,19,0,0,0,0,1
28,Gen-3,20,0,0,0,0,0
